ID,NUMERO VICTIMAS,FECHA,DIA DE LA SEMANA,HORA,FRANJA HORARIA,TIPO DE CALLE,DIRECCION,TIPO DE ZONA,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,MES,DÍA
2019-0056,1,2019-06-29,Saturday,17:16:00,17,AVENIDA,BOYACA AV. 305,CUADRA,7,PEATON-AUTO,PEATON,AUTO,2019,6,29
2019-0057,1,2019-07-05,Friday,19:00:00,19,CALLE,ARTILLEROS y LA PAMPA,ESQUINA,13,PEATON-AUTO,PEATON,AUTO,2019,7,5
2019-0058,1,2019-07-10,Wednesday,09:20:00,9,AUTOPISTA,AUTOPISTA PERITO MORENO e IRIGOYEN,AUTOPISTA,10,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,7,10
2019-0059,1,2019-07-13,Saturday,22:35:00,22,CALLE,15 DE NOVIEMBRE DE 1889 y SANTIAGO DEL ESTERO,ESQUINA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,7,13
2019-0060,1,2019-07-17,Wednesday,11:20:00,11,AVENIDA,"ACOSTA, MARIANO AV. y FALCON, RAMON L.,CNEL.",ESQUINA,10,PEATON-AUTO,PEATON,AUTO,2019,7,17
2019-0061,1,2019-07-17,Wednesday,18:40:00,18,CALLE,11 DE SEPTIEMBRE DE 1888 y MENDOZA,ESQUINA,13,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,7,17
2019-0062,1,2019-08-01,Thursday,23:00:00,23,AVENIDA,"PINO, VIRREY DEL y CAMPOS, LUIS M. AV.",ESQUINA,13,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,8,1
2019-0063,1,2019-08-04,Sunday,01:30:00,1,AVENIDA,FOREST AV. y MAURE,ESQUINA,15,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,8,4
2019-0064,1,2019-08-06,Tuesday,03:15:00,3,AVENIDA,BOYACA AV. y AVELLANEDA AV.,ESQUINA,7,MOTO-AUTO,MOTO,AUTO,2019,8,6
2019-0065,1,2019-08-08,Thursday,16:45:00,16,CALLE,BARCO CENTENERA DEL y TILCARA,ESQUINA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,8,8
2019-0066,1,2019-08-11,Sunday,21:15:00,21,AVENIDA,RIESTRA AV. y BOLIVAR (NO OFICIAL),ESQUINA,7,PEATON-AUTO,PEATON,AUTO,2019,8,11
2019-0067,1,2019-08-14,Wednesday,15:00:00,15,CALLE,"CASTRO, EMILIO 4706",CUADRA,10,MOTO-CARGAS,MOTO,CARGAS,2019,8,14
2019-0068,1,2019-08-14,Wednesday,17:40:00,17,AVENIDA,27 DE FEBRERO AV. 5600,CUADRA,8,MOTO-MOTO,MOTO,MOTO,2019,8,14
2019-0069,1,2019-08-17,Saturday,05:25:00,5,AVENIDA,"GARAY, JUAN DE AV. 2874",CUADRA,4,MOTO-AUTO,MOTO,AUTO,2019,8,17
2019-0070,1,2019-08-22,Thursday,12:30:00,12,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",ESQUINA,14,MOTO-BICICLETA,MOTO,BICICLETA,2019,8,22
2019-0071,1,2019-08-27,Tuesday,11:30:00,11,AVENIDA,PRIMERA JUNTA y OLIVERA AV.,ESQUINA,9,PEATON-CARGAS,PEATON,CARGAS,2019,8,27
2019-0072,1,2019-08-28,Wednesday,06:20:00,6,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y AZUL",ESQUINA,10,AUTO-AUTO,AUTO,AUTO,2019,8,28
2019-0073,1,2019-08-29,Thursday,01:50:00,1,AVENIDA,ALVAREZ THOMAS AV. 1788,CUADRA,15,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2019,8,29
2019-0074,1,2019-08-29,Thursday,09:00:00,9,AUTOPISTA,"LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.",AUTOPISTA,13,MOTO-CARGAS,MOTO,CARGAS,2019,8,29
2019-0075,1,2019-08-30,Friday,23:20:00,23,CALLE,SAN ANTONIO y LUJAN,ESQUINA,4,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,8,30
2019-0076,1,2019-09-05,Thursday,18:00:00,18,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,AUTOPISTA,4,MOTO-CARGAS,MOTO,CARGAS,2019,9,5
2019-0077,1,2019-09-08,Sunday,03:40:00,3,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y TAGLE",ESQUINA,14,PEATON-AUTO,PEATON,AUTO,2019,9,8
2019-0078,1,2019-09-12,Thursday,08:25:00,8,AVENIDA,"EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.",ESQUINA,4,PEATON-CARGAS,PEATON,CARGAS,2019,9,12
2019-0079,1,2019-09-17,Tuesday,05:30:00,5,CALLE,AGRELO y COLOMBRES,ESQUINA,5,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,9,17
2019-0080,1,2019-09-17,Tuesday,18:40:00,18,GRAL PAZ,"CABILDO AV. y PAZ, GRAL. AV.",AUTOPISTA,13,PEATON-MOTO,PEATON,MOTO,2019,9,17
2019-0081,1,2019-09-23,Monday,16:00:00,16,AVENIDA,ELCANO AV. 4300,CUADRA,15,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,9,23
2019-0082,1,2019-09-25,Wednesday,07:45:00,7,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. 2428",CUADRA,8,BICICLETA-CARGAS,BICICLETA,CARGAS,2019,9,25
2019-0083,1,2019-09-26,Thursday,08:00:00,8,CALLE,MONTE y CORVALAN,ESQUINA,9,AUTO-AUTO,AUTO,AUTO,2019,9,26
2019-0084,1,2019-09-27,Friday,11:45:00,11,CALLE,TANDIL y LAFUENTE,ESQUINA,7,BICICLETA-CARGAS,BICICLETA,CARGAS,2019,9,27
2019-0085,1,2019-10-09,Wednesday,22:18:00,22,CALLE,CARDOSO y BACACAY,ESQUINA,10,BICICLETA-TREN,BICICLETA,TREN,2019,10,9
2019-0086,1,2019-10-15,Tuesday,14:10:00,14,AVENIDA,CORRIENTES AV. 6700,CUADRA,15,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,10,15
2019-0087,1,2019-10-21,Monday,21:00:00,21,AVENIDA,ALVAREZ THOMAS AV. y MENDOZA,ESQUINA,12,MOTO-MOTO,MOTO,MOTO,2019,10,21
2019-0088,1,2019-10-22,Tuesday,20:00:00,20,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",ESQUINA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,10,22
2019-0089,1,2019-10-23,Wednesday,15:45:00,15,AVENIDA,"BROWN, ALTE. AV. y BLANES, JUAN MANUEL",ESQUINA,4,PEATON-CARGAS,PEATON,CARGAS,2019,10,23
2019-0090,1,2019-10-24,Thursday,18:26:00,18,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. 5455",CUADRA,9,PEATON-MOTO,PEATON,MOTO,2019,10,24
2019-0091,1,2019-11-01,Friday,20:50:00,20,AVENIDA,"JUSTO, JUAN B. AV. y CAMARGO",ESQUINA,15,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,11,1
2019-0092,1,2019-11-03,Sunday,10:30:00,10,CALLE,"BRIN, MINISTRO y SUAREZ",ESQUINA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,11,3
2019-0093,1,2019-11-13,Wednesday,11:50:00,11,AVENIDA,"NIZA y JUSTO, JUAN B. AV.",ESQUINA,11,BICICLETA-OTRO,BICICLETA,OTRO,2019,11,13
2019-0094,1,2019-11-18,Monday,14:00:00,14,CALLE,CAMARGO y SERRANO,ESQUINA,15,MOTO-OTRO,MOTO,OTRO,2019,11,18
2019-0095,1,2019-11-20,Wednesday,15:30:00,15,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,AUTOPISTA,1,MOTO-CARGAS,MOTO,CARGAS,2019,11,20
2019-0096,1,2019-11-22,Friday,19:33:00,19,AVENIDA,CASEROS AV. y PIEDRAS,ESQUINA,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,11,22
2019-0097,1,2019-11-25,Monday,08:50:00,8,AUTOPISTA,AUTOPISTA PERITO MORENO KM. 5.6,AUTOPISTA,9,MULTIPLE,MOTO,MULTIPLE,2019,11,25
